#pftX-cth and pftX-cbh are the site=specific canopy top and bottom heights
#start_year and end_year will be used to define DATM_YR_ALIGN, DATM_YR_START and DATM_YR_END, and STOP_N in units of nyears.
#RUN_STARTDATE and START_TOD are specified because we are starting at GMT corresponding to local midnight.
#ATM_NCPL is specified so that the time step of the model matches the time interval specified by the atm forcing data.
#The *_SPIN variables are those that need to be set explicitly for spinup because they can be different for each site
,Site,Lat,Lon,pft1,pft1-%,pft1-cth,pft1-cbh,pft2,pft2-%,pft2-cth,pft2-cbh,start_year,end_year,RUN_STARTDATE,START_TOD,ATM_NCPL,RUN_STARTDATE_SPIN,CALENDAR_SPIN,DATM_YR_START_SPIN,DATM_YR_END_SPIN,DATM_YR_ALIGN_SPIN,START_TOD_SPIN
1,AR-SLu,-33.464802,-66.459808,5,50.00, 4.50, 0.13,7,50.00, 4.50, 2.59,2010,2010,2010-01-01,10800,48 ,0001-01-01,NO_LEAP,2010,2010,1,10800
2,AT-Neu,47.116669,11.317500,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2012,2001-12-31,82800,48 ,2003-01-01,GREGORIAN,2003,2010,2003,82800
3,AU-ASM,-22.283001,133.248993,1,100.00, 6.50, 3.25,-999,-999.00,-999.00,-999.00,2011,2017,2010-12-31,54000,48 ,2012-01-01,GREGORIAN,2012,2015,2012,54000
4,AU-Cow,-16.238190,145.427155,4,100.00,22.00, 0.63,-999,-999.00,-999.00,-999.00,2010,2015,2009-12-31,50400,48 ,2011-01-01,GREGORIAN,2011,2014,2011,50400
5,AU-Cpr,-34.002060,140.589127,7,30.00, 4.00, 2.30,14,70.00, 0.50, 0.01,2011,2017,2010-12-31,46800,48 ,2012-01-01,GREGORIAN,2012,2015,2012,46800
6,AU-Ctr,-16.103279,145.446854,4,100.00,25.00, 0.71,-999,-999.00,-999.00,-999.00,2010,2017,2009-12-31,50400,48 ,2011-01-01,GREGORIAN,2011,2014,2011,50400
7,AU-Cum,-33.613297,150.722473,5,100.00,23.00, 0.66,-999,-999.00,-999.00,-999.00,2013,2018,2012-12-31,46800,48 ,2014-01-01,GREGORIAN,2014,2017,2014,46800
8,AU-DaP,-14.063300,131.318100,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2009,2012,2008-12-31,54000,48 ,0001-01-01,NO_LEAP,2009,2009,1,0
9,AU-DaS,-14.159283,131.388000,6,30.00,16.40, 9.11,14,70.00, 0.50, 0.01,2010,2017,2009-12-31,54000,48 ,2011-01-01,GREGORIAN,2011,2014,2011,54000
10,AU-Dry,-15.258800,132.370605,6,30.00,12.30, 6.83,14,70.00, 0.50, 0.01,2011,2015,2010-12-31,54000,48 ,0001-01-01,NO_LEAP,2011,2011,1,0
11,AU-Emr,-23.858700,148.474594,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2012,2013,2011-12-31,50400,48 ,0001-01-01,NO_LEAP,2012,2012,1,0
12,AU-Gin,-31.375000,115.650002,7,70.00, 7.00, 4.02,14,30.00, 0.50, 0.01,2012,2017,2011-12-31,57600,48 ,2013-01-01,GREGORIAN,2013,2016,2013,57600
13,AU-GWW,-30.191299,120.654099,7,30.00,18.00,10.35,14,70.00, 0.50, 0.01,2013,2017,2012-12-31,57600,48 ,0001-01-01,NO_LEAP,2013,2013,1,0
14,AU-How,-12.495200,131.149994,6,70.00,16.00, 8.89,14,30.00, 0.50, 0.01,2003,2017,2002-12-31,54000,48 ,2004-01-01,GREGORIAN,2004,2015,2004,54000
15,AU-Lit,-13.179040,130.794495,6,70.00,20.00,11.11,14,30.00, 0.50, 0.01,2016,2017,2015-12-31,54000,48 ,0001-01-01,NO_LEAP,2016,2016,1,0
16,AU-Otw,-38.532341,142.816803,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2009,2010,2008-12-31,46800,24 ,0001-01-01,NO_LEAP,2009,2009,1,0
17,AU-Rig,-36.649899,145.575897,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2011,2016,2010-12-31,46800,48 ,2012-01-01,GREGORIAN,2012,2015,2012,46800
18,AU-Rob,-17.117500,145.630096,4,100.00,44.00, 1.26,-999,-999.00,-999.00,-999.00,2014,2017,2013-12-31,50400,48 ,0001-01-01,NO_LEAP,2014,2014,1,0
19,AU-Sam,-27.388100,152.877808,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2011,2017,2010-12-31,50400,48 ,2012-01-01,GREGORIAN,2012,2015,2012,50400
20,AU-Stp,-17.150700,133.350204,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2010,2017,2009-12-31,54000,48 ,2011-01-01,GREGORIAN,2011,2014,2011,54000
21,AU-TTE,-22.287001,133.639999,10,30.00, 4.85, 0.97,14,70.00, 0.50, 0.01,2013,2017,2012-12-31,54000,48 ,0001-01-01,NO_LEAP,2013,2013,1,0
22,AU-Tum,-35.656601,148.151703,5,100.00,40.00, 1.14,-999,-999.00,-999.00,-999.00,2002,2017,2001-12-31,46800,24 ,2003-01-01,GREGORIAN,2003,2014,2003,46800
23,AU-Whr,-36.673199,145.029404,5,100.00,28.00, 0.80,-999,-999.00,-999.00,-999.00,2015,2016,2014-12-31,46800,48 ,0001-01-01,NO_LEAP,2015,2015,1,0
24,AU-Wrr,-43.095020,146.654495,5,100.00,90.00, 2.57,-999,-999.00,-999.00,-999.00,2016,2017,2015-12-31,46800,48 ,0001-01-01,NO_LEAP,2016,2016,1,0
25,AU-Ync,-34.989300,146.290695,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2011,2017,2010-12-31,46800,48 ,2012-01-01,GREGORIAN,2012,2015,2012,46800
26,BE-Bra,51.309166, 4.520560,1,19.22,21.00,10.50,7,80.78,21.00,12.08,2004,2014,2003-12-31,82800,48 ,2005-01-01,GREGORIAN,2005,2012,2005,82800
27,BE-Lon,50.551590, 4.746130,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2005,2014,2004-12-31,82800,48 ,2006-01-01,GREGORIAN,2006,2013,2006,82800
28,BE-Vie,50.305069, 5.998050,1,25.93,35.00,17.50,7,74.07,35.00,20.13,1997,2014,1996-12-31,82800,48 ,1998-01-01,GREGORIAN,1998,2013,1998,82800
29,BR-Sa3,-3.018029,-54.971436,4,100.00,40.00, 1.14,-999,-999.00,-999.00,-999.00,2001,2003,2001-01-01,14400,48 ,0001-01-01,NO_LEAP,2002,2002,1,14400
30,BW-Ma1,-19.916500,23.560329,6,30.00, 8.00, 4.44,14,70.00, 0.50, 0.01,2000,2000,1999-12-31,79200,48 ,0001-01-01,NO_LEAP,2000,2000,1,79200
31,CA-NS1,55.879200,-98.483887,2,100.00,20.00,10.00,-999,-999.00,-999.00,-999.00,2003,2003,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2003,2003,1,21600
32,CA-NS2,55.905800,-98.524689,2,100.00,20.00,10.00,-999,-999.00,-999.00,-999.00,2002,2004,2002-01-01,21600,48 ,0001-01-01,NO_LEAP,2003,2003,1,21600
33,CA-NS4,55.914398,-98.380615,2,100.00, 7.00, 3.50,-999,-999.00,-999.00,-999.00,2003,2004,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2004,2004,1,21600
34,CA-NS5,55.863098,-98.484985,2,100.00, 5.00, 2.50,-999,-999.00,-999.00,-999.00,2003,2004,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2004,2004,1,21600
35,CA-NS6,55.916698,-98.964417,10,30.00, 4.00, 0.80,13,70.00, 0.50, 0.01,2002,2004,2002-01-01,21600,48 ,0001-01-01,NO_LEAP,2003,2003,1,21600
36,CA-NS7,56.635799,-99.948303,10,30.00, 0.25, 0.05,13,70.00, 0.50, 0.01,2003,2004,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2004,2004,1,21600
37,CA-Qcu,49.267078,-74.036530,1,100.00, 5.50, 2.75,-999,-999.00,-999.00,-999.00,2002,2006,2002-01-01,18000,48 ,0001-01-01,NO_LEAP,2003,2003,1,18000
38,CA-Qfo,49.692501,-74.342102,1,100.00,14.00, 7.00,-999,-999.00,-999.00,-999.00,2004,2010,2004-01-01,18000,48 ,2005-01-01,GREGORIAN,2005,2008,2005,18000
39,CA-SF1,54.485001,-105.817596,1,100.00, 6.00, 3.00,-999,-999.00,-999.00,-999.00,2004,2006,2004-01-01,21600,48 ,0001-01-01,NO_LEAP,2005,2005,1,21600
40,CA-SF2,54.253899,-105.877502,2,100.00, 4.00, 2.00,-999,-999.00,-999.00,-999.00,2003,2005,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2004,2004,1,21600
41,CA-SF3,54.091599,-106.005310,10,30.00, 1.00, 0.20,13,70.00, 0.50, 0.01,2003,2005,2003-01-01,21600,48 ,0001-01-01,NO_LEAP,2004,2004,1,21600
42,CH-Cha,47.210220, 8.410440,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2006,2014,2005-12-31,82800,48 ,2007-01-01,GREGORIAN,2007,2010,2007,82800
43,CH-Dav,46.815334, 9.855920,1,100.00,25.00,12.50,-999,-999.00,-999.00,-999.00,1997,2014,1996-12-31,82800,48 ,1998-01-01,GREGORIAN,1998,2013,1998,82800
44,CH-Fru,47.115833, 8.537780,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2007,2014,2006-12-31,82800,48 ,2008-01-01,GREGORIAN,2008,2011,2008,82800
45,CH-Oe1,47.285831, 7.731940,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2008,2001-12-31,82800,48 ,2003-01-01,GREGORIAN,2003,2006,2003,82800
46,CN-Cha,42.402500,128.095795,1, 8.79,28.00,14.00,7,91.21,28.00,16.10,2003,2005,2002-12-31,57600,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
47,CN-Cng,44.593399,123.509201,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2008,2009,2007-12-31,57600,48 ,0001-01-01,NO_LEAP,2008,2008,1,0
48,CN-Dan,30.497801,91.066399,12,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2004,2005,2003-12-31,57600,48 ,0001-01-01,NO_LEAP,2004,2004,1,0
49,CN-Din,23.173300,112.536102,5,100.00,30.00, 0.86,-999,-999.00,-999.00,-999.00,2003,2005,2002-12-31,57600,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
50,CN-Du2,42.046700,116.283600,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2007,2008,2006-12-31,57600,48 ,0001-01-01,NO_LEAP,2007,2007,1,0
51,CN-HaM,37.369999,101.180000,12,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2003,2001-12-31,57600,48 ,0001-01-01,NO_LEAP,2002,2002,1,0
52,CN-Qia,26.741400,115.058098,1,100.00,13.00, 6.50,-999,-999.00,-999.00,-999.00,2003,2005,2002-12-31,57600,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
53,CZ-wet,49.024651,14.770350,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2007,2014,2006-12-31,82800,48 ,2008-01-01,GREGORIAN,2008,2011,2008,82800
54,DE-Bay,50.141941,11.866940,1,100.00,25.00,12.50,-999,-999.00,-999.00,-999.00,1997,1999,1996-12-31,82800,48 ,0001-01-01,NO_LEAP,1997,1997,1,0
55,DE-Geb,51.100101,10.914300,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2001,2014,2000-12-31,82800,48 ,2002-01-01,GREGORIAN,2002,2013,2002,82800
56,DE-Gri,50.949471,13.512530,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2004,2014,2003-12-31,82800,48 ,2005-01-01,GREGORIAN,2005,2012,2005,82800
57,DE-Hai,51.079166,10.453000,7,100.00,33.00,18.97,-999,-999.00,-999.00,-999.00,2000,2012,1999-12-31,82800,48 ,2001-01-01,GREGORIAN,2001,2008,2001,82800
58,DE-Kli,50.893059,13.522380,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2005,2014,2004-12-31,82800,48 ,2006-01-01,GREGORIAN,2006,2013,2006,82800
59,DE-Meh,51.275311,10.655470,1, 1.27, 1.00, 0.50,7,98.73, 1.00, 0.58,2004,2006,2003-12-31,82800,48 ,0001-01-01,NO_LEAP,2004,2004,1,0
60,DE-Obe,50.786659,13.721290,1,100.00,19.00, 9.50,-999,-999.00,-999.00,-999.00,2008,2014,2007-12-31,82800,48 ,2009-01-01,GREGORIAN,2009,2012,2009,82800
61,DE-Seh,50.870625, 6.449650,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2008,2010,2007-12-31,82800,48 ,0001-01-01,NO_LEAP,2008,2008,1,0
62,DE-SfN,47.806389,11.327500,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2013,2014,2012-12-31,82800,48 ,0001-01-01,NO_LEAP,2013,2013,1,0
63,DE-Tha,50.963612,13.566940,1,100.00,26.50,13.25,-999,-999.00,-999.00,-999.00,1998,2014,1997-12-31,82800,48 ,1999-01-01,GREGORIAN,1999,2010,1999,82800
